0,0,0,0,14.3
0.05,0,0,0,14.3
0.1,0,0,0,14.3
0.15,0,0,0,14.3
0.2,0,0,0,14.3
0.25,0,0,0,14.3
0.3,0,0,0,14.3
0.35,34.3,38.5,0,14.3
0.4,46,50.1,0,14.3
0.45,49.5,51.5,0,14.3
0.5,60.5,53.7,0,15.5
0.55,64.9,58.4,3.7,16.6
0.6,67.6,63,2.7,15.9
0.65,62.1,65.9,4.2,15.2
0.7,63.7,67.3,10.3,15.2
0.75,67.3,66.1,5.1,15.2
0.8,62.4,64.8,12,16.4
0.85,67,65.3,14.6,17.6
0.9,64.1,62.9,16.6,18.1
0.95,62.2,64,16,18.5
1,67.1,64.7,4.8,18.3
1.05,64.2,65.9,21.9,18.1
1.1,65.8,64.9,26,19.2
1.15,65.8,64.4,25,20.4
1.2,63,65,23.7,23
1.25,66.9,65.6,27.8,25.6
1.3,65.5,63.7,31.4,25.6
1.35,61.8,64.9,31.9,25.6
1.4,65.5,65.2,13.2,24.2
1.45,62.6,65.6,31.3,22.7
1.5,66.9,65.7,36.5,17.4
1.55,66.7,64.1,15,12
1.6,60.5,64.4,40.4,4.2
1.65,65.7,64.1,39.8,-3.5
1.7,67.6,63.2,45,-0.2
1.75,62.4,63.8,45.7,3
1.8,64.3,65.9,46.3,13.4
1.85,65.6,64.1,47.8,23.7
1.9,65.8,63.6,12.9,23
1.95,65.5,65.2,49.7,22.3
2,62.6,64.8,10.3,13.4
2.05,64.1,63.7,51.3,4.5
2.1,65.9,63.6,13.9,-4.5
2.15,64,65.3,54.6,-13.4
2.2,66.1,63.6,29.3,-14.1
2.25,62.7,63.6,59.8,-14.8
2.3,66.4,64.8,60.9,-0.5
2.35,65.1,65,60.7,13.8
2.4,64.6,64.4,47.2,14.5
2.45,64.1,63.5,16.2,15.2
2.5,61.7,61.7,62.1,12.7
2.55,59.3,58.6,61.5,10.1
2.6,57.3,55.9,57.6,12.4
2.65,55.5,55.2,59.9,14.8
2.7,47.9,46.5,49,13.4
2.75,49.3,45.5,53.3,12
2.8,48.4,48.1,51.1,12.7
2.85,43,43.6,49.6,13.4
2.9,42.7,61.6,44.2,13.1
2.95,43.8,43.1,30.3,12.9
3,43.2,43.2,45.4,11.3
3.05,43.5,42.7,43.7,9.6
3.1,42.8,42.4,41.9,9.1
3.15,42.5,42.6,14.1,8.7
3.2,43.5,43.1,41.7,7.3
3.25,42.3,42.3,42,5.9
