0,0,0,0,13.8
0.05,0,0,0,13.8
0.1,0,0,0,13.8
0.15,0,0,0,13.8
0.2,0,0,0,13.8
0.25,0,0,0,13.8
0.3,0,0,0,13.8
0.35,0,0,0,13.8
0.4,0,0,0,13.8
0.45,31.3,30.2,0,13.8
0.5,38.9,44.4,0,13.8
0.55,43.7,39.8,0,13.8
0.6,45.4,48.2,3.3,13.8
0.65,44.3,53.3,4.2,14.1
0.7,49.6,57.7,6.3,14.3
0.75,57.6,57.6,7,14.5
0.8,61.2,58.6,8.2,14.8
0.85,59.1,60.1,10,14.1
0.9,62.1,84.6,10.7,13.4
0.95,67.3,65.1,10.8,14.8
1,65.6,65.2,8.6,16.2
1.05,63.9,65.2,15.3,18.8
1.1,62.9,61.6,16.3,21.3
1.15,65.4,64.7,17.7,21.3
1.2,67.1,66.4,20.2,21.3
1.25,62.7,64.1,19,20.4
1.3,63.5,64.3,22.9,19.5
1.35,65.9,64.3,24.2,19.5
1.4,62.7,63.4,26,19.5
1.45,65.3,65,27.7,23
1.5,64.5,62.2,29,26.5
1.55,64.8,64.8,32.4,29.1
1.6,66.6,66.4,34.6,31.7
1.65,63.8,64.1,26.2,33.5
1.7,67.2,65.6,37.3,35.4
1.75,66.5,63.9,39.3,35.4
1.8,63,62.6,39.1,35.4
1.85,65.6,65.3,41.4,30.7
1.9,64,63.6,20.9,26
1.95,64.8,63.9,44.5,19.2
2,67.8,66,45.4,12.4
2.05,62.9,63.4,31.3,9.6
2.1,62,64.4,48.2,6.8
2.15,63.1,63.7,49.2,3.5
2.2,60.6,62,52.3,0.2
2.25,61.4,61.5,34.6,-4.9
2.3,60.4,59.9,55,-10.1
2.35,59.4,59.1,37.5,-4.7
2.4,59.4,59.5,56.8,0.7
2.45,59.6,60,60.9,5.4
2.5,60.5,60.6,36.8,10.1
2.55,61.1,61.1,60.2,14.3
2.6,62.5,62.5,60.9,18.5
2.65,62.6,62.7,62.9,20.4
2.7,62.1,62.1,61.9,22.3
2.75,60.6,61.4,58.5,22.7
2.8,58.6,60.1,60.6,23.2
2.85,57.6,59.1,59.1,23.4
2.9,52.4,55.3,60.6,23.7
2.95,46.3,55.6,27.7,24.4
3,50.5,54.1,55.6,25.1
3.05,47.9,47.7,60.1,25.1
3.1,47.1,49.1,51.6,25.1
3.15,46.9,46.6,36.9,22.7
3.2,45.5,44.2,47.4,20.4
3.25,46.3,40,44.5,13.8
3.3,46.3,40.4,40.4,7.3
3.35,45,37.6,22,-0.7
3.4,44.6,36.5,35.2,-8.7
3.45,43.7,42.8,29.5,-16.6
3.5,42.8,42.9,25.9,-24.6
3.55,42,61.7,40.6,-25.6
3.6,41.1,40.7,37.8,-26.5
3.65,40.2,40.1,39.8,-25.8
3.7,39.4,38,36.3,-25.1
3.75,39.4,37.9,35.7,-14.5
3.8,39.6,37.4,20.1,-4
3.85,38.4,36.8,34.3,-15
3.9,38.2,37,32.9,-26
3.95,37.9,56.1,15.6,-25.6
4,37.8,38.9,34.1,-25.1
4.05,37.4,40.2,32.4,-33.5
4.1,38.4,39,30.5,-42
4.15,39.3,40.8,25.2,-42.2
4.2,39.3,38.3,28.5,-42.4
4.25,38.4,37.5,32.8,-32.4
4.3,39.1,38.2,31.2,-22.3
4.35,39.3,58.8,30,-37
4.4,40.5,41.2,26.1,-51.8
4.45,40.7,40.6,30.3,-57
4.5,39.9,40.5,44.4,-62.1
4.55,39.3,38.6,33.5,-53.5
4.6,38,38.2,31.9,-44.8
4.65,36.2,37.7,42.3,-26.5
4.7,39.5,38.5,38.9,-8.2
4.75,34,56.5,39.6,19
4.8,37.3,38.4,37.5,46.2
4.85,38.1,37.8,37.3,63.5
4.9,39.3,37.6,36.1,80.9
4.95,38.9,38.9,33.9,89.8
5,38.7,38.7,36.8,98.7
5.05,38.6,37.4,37.9,98.5
5.1,36.6,37.7,37.6,98.2
5.15,38.9,47,33.6,98.5
5.2,42.2,38.4,24.7,98.7
5.25,36.6,38.3,36.9,98.7
5.3,36.1,37.2,34.5,98.7
5.35,34.2,37,36.5,98.5
5.4,39,37,37.4,98.2
5.45,38.6,38,21.1,98.2
5.5,38.8,42.2,37.9,98.2
5.55,46.8,54.6,38.7,98.5
5.6,49.1,46.4,37.8,98.7
5.65,49.6,45.1,38.8,98.7
5.7,43.2,44.3,35.6,98.7
5.75,41.3,43.4,17.9,98.7
5.8,41,41.6,35.5,98.7
5.85,39.9,39.5,31.5,98.7
5.9,38,38,16.4,98.7
5.95,35.8,35.8,34,98.7
6,34,35,31.9,98.7
6.05,33.2,35.2,16.6,91.9
6.1,33.4,33,33.9,85.1
6.15,32,32.2,28.8,71
6.2,32.6,32.1,32.2,57
6.25,34.2,33.4,31.6,52.1
6.3,35.4,35.2,30.2,47.1
6.35,35.6,35.7,29.5,20.9
6.4,36.8,35.4,31,-5.4
6.45,35.3,36.7,31,-23.4
6.5,34.7,33.3,14.2,-41.5
6.55,33.1,32.5,30.4,-40.6
6.6,33.4,33.3,29,-39.6
6.65,34.1,33,27.9,-36.3
6.7,32.9,32.4,29.5,-33.1
6.75,33.6,33.8,30.2,-35.4
6.8,33.9,32.8,29.2,-37.8
6.85,33.8,35,18.7,-24.2
6.9,34.1,35.1,30.1,-10.6
6.95,34.4,37.2,26.5,-18.8
7,33.7,34.4,25.2,-27
7.05,34.7,32.7,26,-39.4
7.1,35.5,34.5,26.5,-51.8
7.15,35.4,35.2,24.3,-64.7
7.2,36.4,37.3,26.8,-77.6
7.25,37.3,38.2,27.7,-78.8
7.3,40,40.3,28.9,-80
7.35,43.4,42.8,30.9,-71.8
7.4,44.5,45.4,18.1,-63.5
7.45,45.2,46.4,32,-41.3
7.5,46.5,45.4,33.9,-19
7.55,47.8,45.8,10.5,-8.9
7.6,48.4,46.6,38.7,1.2
7.65,49.9,49,36.2,1.2
7.7,50,49.5,33.7,1.2
7.75,50,49.8,39.1,5.4
7.8,48.4,47.5,40,9.6
7.85,47,46.2,40.3,21.1
7.9,46.2,46.3,41.6,32.6
7.95,46,45.9,40.6,30
8,46.1,46.4,43.3,27.4
8.05,46.4,46.1,45.4,23.4
8.1,47.9,47.5,45.8,19.5
8.15,48.9,65,48.3,18.5
8.2,49.7,49.8,48.2,17.6
8.25,51.1,51.3,50.4,15.7
8.3,52.1,52.1,50.2,13.8
8.35,53.6,61.6,54.1,16.4
8.4,54.3,54.5,53.2,19
8.45,55.6,54.7,55.4,21.6
8.5,56.9,57.2,53.7,24.2
8.55,57.3,58.2,57.8,23.7
8.6,59.3,59.1,43.7,23.2
8.65,57.1,57.4,54.9,24.2
8.7,56.5,57.8,58,25.1
8.75,55.1,57.4,56.4,25.3
8.8,50.5,51.7,57.1,25.6
8.85,51.9,53.4,44.7,26.7
8.9,51,54,55.7,27.9
8.95,50.3,53.2,52,27.9
9,50.6,53,55.1,27.9
9.05,50,52.5,53.8,28.1
9.1,49.9,52.2,52.9,28.4
9.15,49.1,52,51.3,29.1
9.2,49.2,52.5,54.7,29.8
9.25,50.7,52.3,34.2,33.3
9.3,53.8,52.6,53.1,36.8
9.35,51.3,52.2,43,38.7
9.4,51.7,52.7,53.7,40.6
9.45,51.3,52.5,34.9,41.5
9.5,52.6,53.3,53.4,42.4
9.55,53.1,52.7,35.3,42.9
9.6,56.5,54.8,53.5,43.4
9.65,58.3,57.9,56.1,43.4
9.7,59.2,60.3,52.3,43.4
9.75,62.3,61.4,56,42.7
9.8,60.3,61,53.2,42
9.85,62,61.2,59.2,42
9.9,62.8,62.8,47,42
9.95,65.8,65,60.2,40.1
10,65,64.9,40,38.2
10.05,62.5,63.9,60,25.1
10.1,63.2,62.7,62.4,12
10.15,61.3,61.7,25.1,9.1
10.2,61.5,61.4,62.8,6.3
10.25,62.6,63.3,41.2,9.6
10.3,62.9,63.1,60.5,12.9
10.35,62.3,82.6,62.3,14.5
10.4,61.7,62,31.5,16.2
10.45,56.8,55.3,61.1,13.4
10.5,56.9,55.5,39,10.6
10.55,56.4,55.2,58.3,11.7
10.6,55.3,55.5,56.6,12.9
10.65,54.5,53.9,52.8,12.2
10.7,53.1,53.1,54.6,11.5
